ID de produto único,peso dos produtos,especifica se o produto tem baixo teor de gordura ou não,porcentagem da área total de exibição de todos os produtos em uma loja alocada para o produto específico,a categoria à qual o produto pertence,Preço máximo de varejo (preço listado) dos produtos,ID de loja única,ano de criação dos pontos de venda,o tamanho da loja em termos de área coberta,o tipo de cidade em que a loja está localizada,(variável de destino) vendas do produto na loja específica
FDO57,20.75,Low Fat,0.108619696,Snack Foods,1.619.578,OUT013,1987,High,Tier 3,Supermarket Type1
NCX18,14.15,Low Fat,0.008843726,Household,196.711,OUT017,2007,,Tier 2,Supermarket Type1
FDB05,5.155,Low Fat,0.083537256,Frozen Foods,2.488.776,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDQ08,15.7,Regular,0.019007466,Fruits and Vegetables,603.536,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCG43,20.2,Low Fat,0.074225409,Household,940.462,OUT035,2004,Small,Tier 2,Supermarket Type1
FDJ56,8.985,Low Fat,0.183250395,Fruits and Vegetables,101.87,OUT013,1987,High,Tier 3,Supermarket Type1
FDA13,15.85,Low Fat,0.131484879,Canned,359.506,OUT010,1998,,Tier 3,Grocery Store
FDO56,10.195,Regular,0.045236996,Fruits and Vegetables,1.163.808,OUT017,2007,,Tier 2,Supermarket Type1
FDB37,20.25,Regular,0,Baking Goods,2.404.538,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDZ02,6.905,Regular,0.038302823,Dairy,966.726,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDQ24,15.7,Low Fat,0.073666699,Baking Goods,2.499.724,OUT046,1997,Small,Tier 1,Supermarket Type1
FDM16,8.155,Regular,0.033527475,Frozen Foods,740.354,OUT013,1987,High,Tier 3,Supermarket Type1
FDU35,6.44,Low Fat,0.079338525,Breads,99.47,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDT35,19.85,Regular,0.081439977,Breads,1.689.816,OUT035,2004,Small,Tier 2,Supermarket Type1
NCX30,16.7,Low Fat,0.026662015,Household,2.475.776,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDG04,13.1,Low Fat,0.006097005,Frozen Foods,1.872.898,OUT017,2007,,Tier 2,Supermarket Type1
FDI12,9.395,Regular,0.100379956,Baking Goods,862.856,OUT035,2004,Small,Tier 2,Supermarket Type1
FDE35,7.06,Regular,0.043892097,Starchy Foods,600.904,OUT035,2004,Small,Tier 2,Supermarket Type1
NCP14,,Low Fat,0.109755674,Household,1.060.306,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCY53,20,Low Fat,0.058599942,Health and Hygiene,1.101.544,OUT045,2002,,Tier 2,Supermarket Type1
FDP49,9,Regular,0.069479757,Breakfast,551.614,OUT017,2007,,Tier 2,Supermarket Type1
FDQ04,6.4,Low Fat,0.085233007,Frozen Foods,422.796,OUT017,2007,,Tier 2,Supermarket Type1
FDM39,6.42,Low Fat,0.053460551,Dairy,1.789.002,OUT035,2004,Small,Tier 2,Supermarket Type1
FDO58,,Low Fat,0.06929452,Snack Foods,1.625.526,OUT019,1985,Small,Tier 1,Grocery Store
FDC56,7.72,Low Fat,0.122208091,Fruits and Vegetables,119.344,OUT017,2007,,Tier 2,Supermarket Type1
NCQ54,17.7,Low Fat,0.012542375,Household,1.674.474,OUT046,1997,Small,Tier 1,Supermarket Type1
FDV10,,Regular,0.066383024,Snack Foods,426.112,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCK17,11,Low Fat,0.037894845,Health and Hygiene,40.348,OUT046,1997,Small,Tier 1,Supermarket Type1
NCF55,,Low Fat,0.021561415,Household,364.874,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDV33,9.6,Regular,0.027320856,Snack Foods,2.598.304,OUT013,1987,High,Tier 3,Supermarket Type1
NCH29,,Low Fat,0.060359181,Health and Hygiene,962.726,OUT019,1985,Small,Tier 1,Grocery Store
FDA37,,Regular,0.054959317,Canned,1.255.046,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDH46,6.935,Regular,0.041450453,Snack Foods,1.019.332,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDS25,6.885,Regular,0.13998208,Canned,1.106.228,OUT035,2004,Small,Tier 2,Supermarket Type1
FDH04,,Regular,0.011317898,Frozen Foods,897.488,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDX52,11.5,Regular,0.042002566,Frozen Foods,191.382,OUT046,1997,Small,Tier 1,Supermarket Type1
NCD42,16.5,Low Fat,0.012709331,Health and Hygiene,371.506,OUT017,2007,,Tier 2,Supermarket Type1
FDW47,15,Low Fat,0.046637544,Breads,1.219.414,OUT017,2007,,Tier 2,Supermarket Type1
FDL25,,Regular,0.130290904,Breakfast,929.804,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCJ06,20.1,Low Fat,0.05800138,Household,1.203.782,OUT010,1998,,Tier 3,Grocery Store
FDY09,15.6,Low Fat,0.025179178,Snack Foods,1.737.054,OUT013,1987,High,Tier 3,Supermarket Type1
FDS40,15.35,Low Fat,0,Frozen Foods,37.219,OUT046,1997,Small,Tier 1,Supermarket Type1
FDH41,9,Low Fat,0.082475411,Frozen Foods,2.151.534,OUT017,2007,,Tier 2,Supermarket Type1
FDG38,8.975,Regular,0.05271917,Canned,849.224,OUT035,2004,Small,Tier 2,Supermarket Type1
FDU03,,Regular,0.091134452,Meat,1.806.292,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDV20,20.2,Regular,0.059801403,Fruits and Vegetables,1.279.678,OUT046,1997,Small,Tier 1,Supermarket Type1
DRB13,6.115,Regular,0.007058626,Soft Drinks,190.653,OUT045,2002,,Tier 2,Supermarket Type1
NCQ30,7.725,Low Fat,0.029048089,Household,1.202.414,OUT013,1987,High,Tier 3,Supermarket Type1
NCH06,12.3,Low Fat,0.076490678,Household,245.146,OUT013,1987,High,Tier 3,Supermarket Type1
FDU50,5.75,Regular,0,Dairy,1.128.176,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCO42,,Low Fat,0.043168763,Household,1.452.102,OUT019,1985,Small,Tier 1,Grocery Store
FDW09,13.65,Regular,0.026026406,Snack Foods,800.302,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDH04,6.115,Regular,0.011363508,Frozen Foods,906.488,OUT013,1987,High,Tier 3,Supermarket Type1
FDC21,14.6,Regular,0.043045942,Fruits and Vegetables,1.077.254,OUT045,2002,,Tier 2,Supermarket Type1
FDL21,15.85,Regular,0.007157526,Snack Foods,40.448,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDM46,7.365,Low Fat,0.267753377,Snack Foods,93.612,OUT010,1998,,Tier 3,Grocery Store
FDT22,,Low Fat,0.196267755,Snack Foods,60.422,OUT019,1985,Small,Tier 1,Grocery Store
FDB28,6.615,Low Fat,0.093367723,Dairy,1.984.426,OUT035,2004,Small,Tier 2,Supermarket Type1
FDI12,9.395,Regular,0.100807923,Baking Goods,884.856,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDA28,16.1,Regular,0.047898827,Frozen Foods,1.262.362,OUT045,2002,,Tier 2,Supermarket Type1
FDF59,12.5,Low Fat,0.071184721,Starchy Foods,127.902,OUT013,1987,High,Tier 3,Supermarket Type1
FDM45,,Regular,0.087767643,Snack Foods,1.222.756,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDQ56,6.59,Low Fat,0.106194617,Fruits and Vegetables,831.908,OUT017,2007,,Tier 2,Supermarket Type1
FDR46,16.85,Low Fat,0.139634411,Snack Foods,146.076,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDT01,13.65,Regular,0.184014453,Canned,2.124.902,OUT013,1987,High,Tier 3,Supermarket Type1
FDD16,,Low Fat,0.036177057,Frozen Foods,747.696,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCU30,5.11,Low Fat,0.05837308,Household,161.221,OUT010,1998,,Tier 3,Grocery Store
FDM40,10.195,Low Fat,0.267701662,Frozen Foods,1.437.154,OUT010,1998,,Tier 3,Grocery Store
FDI56,7.325,Low Fat,0.093367723,Fruits and Vegetables,931.146,OUT035,2004,Small,Tier 2,Supermarket Type1
NCS30,5.945,Low Fat,0.092948793,Household,1.275.652,OUT013,1987,High,Tier 3,Supermarket Type1
FDU08,10.3,Low Fat,0.027469924,Fruits and Vegetables,989.042,OUT017,2007,,Tier 2,Supermarket Type1
FDX51,,Regular,0.021951904,Meat,1.951.452,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDA43,10.895,Low Fat,0.064806913,Fruits and Vegetables,1.966.794,OUT045,2002,,Tier 2,Supermarket Type1
FDX59,10.195,Low Fat,0.086470378,Breads,336.558,OUT010,1998,,Tier 3,Grocery Store
FDC37,15.5,Low Fat,0.033007266,Baking Goods,1.060.938,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDP58,11.1,Low Fat,0.135029856,Snack Foods,2.189.482,OUT013,1987,High,Tier 3,Supermarket Type1
NCY42,6.38,Low Fat,0.015159706,Household,142.447,OUT035,2004,Small,Tier 2,Supermarket Type1
FDF21,10.3,Regular,0.059067021,Fruits and Vegetables,189.653,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDU10,,Regular,0.045470757,Snack Foods,381.848,OUT027,1985,Medium,Tier 3,Supermarket Type3
DRL47,19.7,Low Fat,0.038894579,Hard Drinks,1.247.362,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDA58,9.395,Low Fat,0,Snack Foods,2.376.932,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDJ22,18.75,LF,0.05289235,Snack Foods,1.927.504,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDK50,7.96,LF,0.028363203,Canned,1.604.894,OUT046,1997,Small,Tier 1,Supermarket Type1
FDO38,17.25,Low Fat,0.072825279,Canned,781.986,OUT035,2004,Small,Tier 2,Supermarket Type1
DRF60,10.8,Low Fat,0.052058877,Soft Drinks,2.397.564,OUT035,2004,Small,Tier 2,Supermarket Type1
NCZ42,,Low Fat,0.019763707,Household,2.363.248,OUT019,1985,Small,Tier 1,Grocery Store
FDD35,12.15,Low Fat,0.025904641,Starchy Foods,118.844,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDL25,6.92,Regular,0.131190433,Breakfast,927.804,OUT045,2002,,Tier 2,Supermarket Type1
FDJ16,9.195,Low Fat,0.114790042,Frozen Foods,573.246,OUT013,1987,High,Tier 3,Supermarket Type1
DRK59,8.895,Low Fat,0.075567131,Hard Drinks,2.348.616,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDI50,8.42,Regular,0.030842666,Canned,2.310.352,OUT046,1997,Small,Tier 1,Supermarket Type1
NCB19,6.525,Low Fat,0.09047883,Household,871.882,OUT045,2002,,Tier 2,Supermarket Type1
DRI37,15.85,Low Fat,0.107577534,Soft Drinks,598.904,OUT035,2004,Small,Tier 2,Supermarket Type1
FDA14,,Low Fat,0.064867575,Dairy,147.876,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDC08,19,Regular,0.103871404,Fruits and Vegetables,227.772,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDS45,5.175,Regular,0.029495954,Snack Foods,1.045.622,OUT046,1997,Small,Tier 1,Supermarket Type1
FDI21,5.59,Regular,0.056690821,Snack Foods,634.168,OUT049,1999,Medium,Tier 1,Supermarket Type1
DRJ47,18.25,Low Fat,0.044241936,Hard Drinks,174.308,OUT035,2004,Small,Tier 2,Supermarket Type1
DRE37,,Low Fat,0.09376333,Soft Drinks,1.888.872,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDT55,13.6,Regular,0.043832988,Fruits and Vegetables,1.580.946,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCG42,,Low Fat,0.041028183,Household,129.131,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDA31,7.1,Low Fat,0.110182726,Fruits and Vegetables,171.208,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCW42,18.2,Low Fat,0,Household,2.220.456,OUT046,1997,Small,Tier 1,Supermarket Type1
FDF50,4.905,Low Fat,0.117994019,Canned,1.952.768,OUT017,2007,,Tier 2,Supermarket Type1
FDK56,9.695,Low Fat,0.130200124,Fruits and Vegetables,1.867.898,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDX10,6.385,Regular,0.123687134,Snack Foods,368.874,OUT035,2004,Small,Tier 2,Supermarket Type1
NCK07,,Low Fat,0.048450921,Others,1.633.526,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDZ49,11,Regular,0.133898743,Canned,2.220.798,OUT017,2007,,Tier 2,Supermarket Type1
FDR33,7.31,Low Fat,0.026766644,Snack Foods,108.657,OUT013,1987,High,Tier 3,Supermarket Type1
FDO44,12.6,Low Fat,0,Fruits and Vegetables,1.108.228,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDA20,6.78,Low Fat,0.066621085,Fruits and Vegetables,186.624,OUT046,1997,Small,Tier 1,Supermarket Type1
NCL30,18.1,Low Fat,0.049039681,Household,1.278.336,OUT045,2002,,Tier 2,Supermarket Type1
FDI05,,Regular,0.222132498,Frozen Foods,744.354,OUT019,1985,Small,Tier 1,Grocery Store
FDQ12,12.65,Low Fat,0.035554996,Baking Goods,228.501,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDH47,13.5,Regular,0,Starchy Foods,958.068,OUT017,2007,,Tier 2,Supermarket Type1
FDH34,8.63,Low Fat,0.031221915,Snack Foods,1.858.582,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDF29,15.1,Regular,0.019934187,Frozen Foods,131.431,OUT046,1997,Small,Tier 1,Supermarket Type1
FDG40,13.65,Low Fat,0.039986574,Frozen Foods,343.558,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCE18,10,Low Fat,0.021546531,Household,249.175,OUT017,2007,,Tier 2,Supermarket Type1
FDP21,7.42,Regular,0.043084893,Snack Foods,1.891.872,OUT010,1998,,Tier 3,Grocery Store
FDY50,5.8,Low Fat,0.130846833,Dairy,886.172,OUT013,1987,High,Tier 3,Supermarket Type1
FDB36,5.465,Regular,0,Baking Goods,1.292.626,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCZ29,15,Low Fat,0.071482421,Health and Hygiene,1.272.362,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDU20,19.35,Regular,0.02154496,Fruits and Vegetables,1.190.098,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDO56,10.195,Regular,0.044945123,Fruits and Vegetables,1.177.808,OUT013,1987,High,Tier 3,Supermarket Type1
FDW31,11.35,Regular,0.043225203,Fruits and Vegetables,1.977.742,OUT049,1999,Medium,Tier 1,Supermarket Type1
DRH59,10.8,Low Fat,0.058384823,Hard Drinks,74.838,OUT013,1987,High,Tier 3,Supermarket Type1
NCB30,14.6,Low Fat,0.02584838,Household,1.975.084,OUT017,2007,,Tier 2,Supermarket Type1
FDK43,,Low Fat,0.026710788,Meat,127.902,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDW43,20.1,Regular,0.022470715,Fruits and Vegetables,2.293.036,OUT045,2002,,Tier 2,Supermarket Type1
NCL19,15.35,Low Fat,0.015764902,Others,141.147,OUT017,2007,,Tier 2,Supermarket Type1
FDJ27,17.7,Regular,0.121876033,Meat,1.003.674,OUT046,1997,Small,Tier 1,Supermarket Type1
FDC45,17,low fat,0.135733218,Fruits and Vegetables,1.699.106,OUT046,1997,Small,Tier 1,Supermarket Type1
FDY40,15.5,Regular,0.085818761,Frozen Foods,512.692,OUT035,2004,Small,Tier 2,Supermarket Type1
NCM41,16.5,Low Fat,0.035649249,Health and Hygiene,91.912,OUT035,2004,Small,Tier 2,Supermarket Type1
NCK18,,Low Fat,0.011727514,Household,1.645.184,OUT019,1985,Small,Tier 1,Grocery Store
FDP37,15.6,Low Fat,0.143328443,Breakfast,1.297.994,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDA27,,Regular,0.030777863,Dairy,2.555.672,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCX30,16.7,Low Fat,0.026615593,Household,2.474.776,OUT035,2004,Small,Tier 2,Supermarket Type1
FDR09,18.25,Low Fat,0.078164241,Snack Foods,2.569.962,OUT017,2007,,Tier 2,Supermarket Type1
FDG08,,Regular,0.164558565,Fruits and Vegetables,1.726.764,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCU30,5.11,Low Fat,0.034845668,Household,164.621,OUT013,1987,High,Tier 3,Supermarket Type1
FDB16,8.21,Low Fat,0.045179902,Dairy,878.198,OUT017,2007,,Tier 2,Supermarket Type1
FDM16,8.155,Regular,0.033745202,Frozen Foods,736.354,OUT017,2007,,Tier 2,Supermarket Type1
FDC48,9.195,Low Fat,0.015846096,Baking Goods,815.592,OUT013,1987,High,Tier 3,Supermarket Type1
NCF18,18.35,Low Fat,0.088982596,Household,1.899.504,OUT046,1997,Small,Tier 1,Supermarket Type1
FDU46,10.3,reg,0.011171624,Snack Foods,86.954,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDH41,9,Low Fat,0.082345601,Frozen Foods,2.145.534,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCN42,20.25,Low Fat,0.023805745,Household,1.455.418,OUT010,1998,,Tier 3,Grocery Store
FDU49,19.5,Regular,0.030694361,Canned,88.254,OUT046,1997,Small,Tier 1,Supermarket Type1
FDB20,,Low Fat,0.051728948,Fruits and Vegetables,779.986,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDG50,,Low Fat,0.026738937,Canned,896.146,OUT019,1985,Small,Tier 1,Grocery Store
FDW20,20.75,Low Fat,0.024198404,Fruits and Vegetables,122.073,OUT045,2002,,Tier 2,Supermarket Type1
NCO55,12.8,Low Fat,0.091178768,Others,1.091.938,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDX48,17.75,Regular,0.037887894,Baking Goods,1.546.656,OUT046,1997,Small,Tier 1,Supermarket Type1
FDU48,18.85,Low Fat,0.055358452,Baking Goods,1.327.284,OUT046,1997,Small,Tier 1,Supermarket Type1
FDR48,,Low Fat,0.230246928,Baking Goods,1.521.024,OUT019,1985,Small,Tier 1,Grocery Store
FDK27,11,Low Fat,0.008939091,Meat,1.227.756,OUT013,1987,High,Tier 3,Supermarket Type1
FDT35,19.85,Regular,0.081387594,Breads,1.660.816,OUT013,1987,High,Tier 3,Supermarket Type1
FDN12,15.6,Low Fat,0.081230024,Baking Goods,1.098.544,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCE31,,low fat,0.323637245,Household,355.216,OUT019,1985,Small,Tier 1,Grocery Store
FDL21,15.85,Regular,0.007186838,Snack Foods,41.148,OUT017,2007,,Tier 2,Supermarket Type1
FDV56,16.1,Regular,0.013672625,Fruits and Vegetables,1.068.596,OUT017,2007,,Tier 2,Supermarket Type1
FDR16,5.845,Regular,0.105612027,Frozen Foods,2.148.218,OUT017,2007,,Tier 2,Supermarket Type1
NCP41,16.6,Low Fat,0.016235909,Health and Hygiene,1.089.596,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDJ27,17.7,Regular,0.121774611,Meat,1.018.674,OUT013,1987,High,Tier 3,Supermarket Type1
FDA07,7.55,Regular,0.03111966,Fruits and Vegetables,1.226.072,OUT017,2007,,Tier 2,Supermarket Type1
FDK55,18.5,Low Fat,0.02580175,Meat,890.172,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDM33,15.6,Low Fat,0.087856073,Snack Foods,2.207.798,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDY46,18.6,Low Fat,0.047889939,Snack Foods,1.869.898,OUT046,1997,Small,Tier 1,Supermarket Type1
FDD36,13.3,Low Fat,0.021273561,Baking Goods,1.178.124,OUT046,1997,Small,Tier 1,Supermarket Type1
FDB12,,Regular,0.104797702,Baking Goods,1.018.648,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDF28,,Regular,0.066296239,Frozen Foods,1.259.046,OUT019,1985,Small,Tier 1,Grocery Store
NCE07,,Low Fat,0.022988989,Household,1.433.154,OUT019,1985,Small,Tier 1,Grocery Store
FDW50,,Low Fat,0.075212058,Dairy,1.651.158,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCW18,15.1,Low Fat,0.059660386,Household,2.367.248,OUT017,2007,,Tier 2,Supermarket Type1
NCJ17,,Low Fat,0.267106722,Health and Hygiene,854.224,OUT019,1985,Small,Tier 1,Grocery Store
DRZ24,7.535,Low Fat,0.13689554,Soft Drinks,120.244,OUT010,1998,,Tier 3,Grocery Store
FDS07,12.35,Low Fat,0,Fruits and Vegetables,1.150.518,OUT035,2004,Small,Tier 2,Supermarket Type1
NCW05,20.25,Low Fat,0.247843179,Health and Hygiene,1.076.938,OUT010,1998,,Tier 3,Grocery Store
FDZ22,9.395,Low Fat,0.045454306,Snack Foods,83.125,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDK02,12.5,Low Fat,0,Canned,118.144,OUT046,1997,Small,Tier 1,Supermarket Type1
FDZ45,,Low Fat,0,Snack Foods,1.966.084,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDL25,6.92,Regular,0.130924914,Breakfast,911.804,OUT046,1997,Small,Tier 1,Supermarket Type1
FDS08,5.735,Low Fat,0.057076739,Fruits and Vegetables,175.737,OUT045,2002,,Tier 2,Supermarket Type1
NCZ42,,Low Fat,0.011233267,Household,2.355.248,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDX57,17.25,Regular,0.047257274,Snack Foods,970.068,OUT035,2004,Small,Tier 2,Supermarket Type1
FDF21,10.3,Regular,0.058827383,Fruits and Vegetables,189.853,OUT046,1997,Small,Tier 1,Supermarket Type1
FDJ56,8.985,Low Fat,0.184150125,Fruits and Vegetables,98.47,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDX10,6.385,Regular,0.123607578,Snack Foods,364.874,OUT013,1987,High,Tier 3,Supermarket Type1
DRG48,5.78,Low Fat,0.014552313,Soft Drinks,1.451.102,OUT035,2004,Small,Tier 2,Supermarket Type1
DRN37,9.6,Low Fat,0.096297398,Soft Drinks,1.673.158,OUT046,1997,Small,Tier 1,Supermarket Type1
NCY41,16.75,Low Fat,0.076044136,Health and Hygiene,349.532,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDN28,5.88,Regular,0.030309247,Frozen Foods,103.499,OUT045,2002,,Tier 2,Supermarket Type1
FDE34,9.195,Low Fat,0.108110205,Snack Foods,1.815.634,OUT045,2002,,Tier 2,Supermarket Type1
FDR10,17.6,Low Fat,0.010060255,Snack Foods,1.638.552,OUT045,2002,,Tier 2,Supermarket Type1
FDC32,18.35,Low Fat,0.099669602,Fruits and Vegetables,929.462,OUT017,2007,,Tier 2,Supermarket Type1
DRG13,17.25,Low Fat,0.037186151,Soft Drinks,1.643.526,OUT046,1997,Small,Tier 1,Supermarket Type1
FDP59,20.85,Regular,0.056553503,Breads,1.049.648,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCT53,5.4,LF,0.080536751,Health and Hygiene,1.658.526,OUT010,1998,,Tier 3,Grocery Store
FDL57,,Regular,0.066751989,Snack Foods,2.574.304,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDN32,17.5,Low Fat,0.026044866,Fruits and Vegetables,1.852.266,OUT010,1998,,Tier 3,Grocery Store
FDK09,15.2,Low Fat,0.092137107,Snack Foods,2.274.352,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDA52,16.2,Regular,0.214952566,Frozen Foods,178.437,OUT010,1998,,Tier 3,Grocery Store
FDC57,20.1,Regular,0.054679411,Fruits and Vegetables,193.282,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDI09,20.75,Regular,0.129313138,Seafood,239.488,OUT035,2004,Small,Tier 2,Supermarket Type1
NCB07,19.2,Low Fat,0.077507549,Household,197.911,OUT046,1997,Small,Tier 1,Supermarket Type1
FDP26,7.785,Low Fat,0.139526439,Dairy,1.031.306,OUT035,2004,Small,Tier 2,Supermarket Type1
FDP40,,Regular,0.034190793,Frozen Foods,1.120.544,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDL15,17.85,Low Fat,0.046595951,Meat,1.515.682,OUT013,1987,High,Tier 3,Supermarket Type1
FDV07,9.5,Low Fat,0,Fruits and Vegetables,1.113.228,OUT046,1997,Small,Tier 1,Supermarket Type1
FDS03,7.825,Low Fat,0.080079022,Meat,651.826,OUT017,2007,,Tier 2,Supermarket Type1
FDE50,19.7,Regular,0.016230842,Canned,1.859.556,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDQ15,20.35,Regular,0.15192798,Meat,794.276,OUT017,2007,,Tier 2,Supermarket Type1
FDQ33,13.35,Low Fat,0.15266209,Snack Foods,1.503.708,OUT010,1998,,Tier 3,Grocery Store
FDT22,10.395,Low Fat,0.112003932,Snack Foods,58.022,OUT013,1987,High,Tier 3,Supermarket Type1
DRO35,13.85,Low Fat,0.03456382,Hard Drinks,1.172.492,OUT035,2004,Small,Tier 2,Supermarket Type1
FDJ41,6.85,LF,0.022918858,Frozen Foods,2.615.594,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDQ27,5.19,Regular,0.044244253,Meat,104.899,OUT035,2004,Small,Tier 2,Supermarket Type1
FDC26,10.195,Low Fat,0.127097968,Canned,1.123.886,OUT017,2007,,Tier 2,Supermarket Type1
NCF43,,Low Fat,0,Household,142.947,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCR50,20.2,Low Fat,0.011817852,Household,153.134,OUT035,2004,Small,Tier 2,Supermarket Type1
FDE39,7.89,Low Fat,0.036281701,Dairy,1.196.782,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDN49,,Regular,0.124618061,Breakfast,40.548,OUT027,1985,Medium,Tier 3,Supermarket Type3
DRG11,6.385,Low Fat,0.083822437,Hard Drinks,1.073.596,OUT035,2004,Small,Tier 2,Supermarket Type1
NCA18,10.1,Low Fat,0.05616476,Household,1.170.492,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDM36,11.65,Regular,0.058970075,Baking Goods,1.719.422,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDW32,18.35,Regular,0.094830216,Fruits and Vegetables,856.882,OUT017,2007,,Tier 2,Supermarket Type1
NCQ18,15.75,Low Fat,0.226084177,Household,98.67,OUT010,1998,,Tier 3,Grocery Store
FDX14,,Low Fat,0.07457713,Dairy,762.354,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDD46,6.035,Low Fat,0.142055011,Snack Foods,1.523.998,OUT017,2007,,Tier 2,Supermarket Type1
FDI34,,Regular,0.149062064,Snack Foods,2.321.668,OUT019,1985,Small,Tier 1,Grocery Store
NCJ17,7.68,Low Fat,0.152527644,Health and Hygiene,852.224,OUT035,2004,Small,Tier 2,Supermarket Type1
FDB52,17.75,Low Fat,0.030429846,Dairy,2.572.672,OUT035,2004,Small,Tier 2,Supermarket Type1
FDV55,17.75,LF,0.055297776,Fruits and Vegetables,1.437.444,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDC57,20.1,Regular,0.054594531,Fruits and Vegetables,191.682,OUT046,1997,Small,Tier 1,Supermarket Type1
FDB29,16.7,Regular,0.052411676,Frozen Foods,1.152.176,OUT046,1997,Small,Tier 1,Supermarket Type1
NCO43,5.5,Low Fat,0.047089304,Others,1.001.016,OUT035,2004,Small,Tier 2,Supermarket Type1
FDG44,6.13,Low Fat,0.102398197,Fruits and Vegetables,527.298,OUT045,2002,,Tier 2,Supermarket Type1
FDJ34,11.8,Regular,0.093845664,Snack Foods,1.264.704,OUT045,2002,,Tier 2,Supermarket Type1
FDH40,11.6,Regular,0.079052286,Frozen Foods,823.276,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCD07,,Low Fat,0.055160326,Household,1.119.518,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDB41,19,Regular,0.097863571,Frozen Foods,460.718,OUT017,2007,,Tier 2,Supermarket Type1
