Número do Processo/PVL,Interessado,UF,Tipo de interessado,Tipo de operação,Finalidade,Tipo de credor,Credor,Moeda,Valor,Número do Processo/PVL,Código IBGE,Status,Data,Analisado por
17944.002094/2011-65,Campina Grande,PB,Município,Operação Contratual Interna,Provias 2010,Instituição Financeira Nacional,Banco do Brasil S/A,Real,3000000,17944.002094/2011-65,2504009,Arquivado por decurso de prazo,1/18/2013,STN
17944.001761/2011-92,Penedo,AL,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1020000,17944.001761/2011-92,2706703,Arquivado por decurso de prazo,1/16/2013,STN
17944.001691/2010-91,Jucuruçu,BA,Município,Operação Contratual Interna,Provias 2010,Instituição Financeira Nacional,Banco do Brasil S/A,Real,477000,17944.001691/2010-91,2918456,Arquivado por decurso de prazo,1/16/2013,STN
17944.001056/2011-95,Muquém de São Francisco,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,2500000,17944.001056/2011-95,2922250,Arquivado por decurso de prazo,1/16/2013,STN
17944.000550/2011-32,Poções,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,500000,17944.000550/2011-32,2925105,Arquivado por decurso de prazo,1/16/2013,STN
17944.000556/2011-18,Vitória da Conquista,BA,Município,Operação Contratual Interna,Provias 2010,Instituição Financeira Nacional,Banco do Brasil S/A,Real,3000000,17944.000556/2011-18,2933307,Arquivado por decurso de prazo,1/16/2013,STN
17944.001478/2010-80,Dias d'Ávila,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,195000,17944.001478/2010-80,2910057,Arquivado por decurso de prazo,1/15/2013,STN
17944.001339/2009-12,Mata de São João,BA,Município,Operação Contratual Interna,Provias 2009,Instituição Financeira Nacional,Banco do Brasil S/A,Real,1250000,17944.001339/2009-12,2921005,Arquivado por decurso de prazo,1/15/2013,STN
17944.000397/2011-43,Pindaí,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,1465000,17944.000397/2011-43,2924504,Arquivado por decurso de prazo,1/15/2013,STN
17944.000130/2012-37,Pé de Serra,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,65000,17944.000130/2012-37,2924058,Arquivado por decurso de prazo,1/15/2013,STN
17944.001553/2011-93,Ribeira do Amparo,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,65000,17944.001553/2011-93,2926509,Arquivado por decurso de prazo,1/15/2013,STN
17944.001612/2011-23,Ribeira do Amparo,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,500000,17944.001612/2011-23,2926509,Arquivado por decurso de prazo,1/15/2013,STN
17944.001511/2011-52,São Félix,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,650000,17944.001511/2011-52,2929008,Arquivado por decurso de prazo,1/15/2013,STN
17944.001612/2010-42,Garanhuns,PE,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,Banco do Brasil S/A,Real,1320000,17944.001612/2010-42,2606002,Arquivado por decurso de prazo,1/15/2013,STN
17944.001110/2010-11,Lagoa Grande,PE,Município,Operação Contratual Interna,Provias 2009,Instituição Financeira Nacional,Banco do Brasil S/A,Real,460000,17944.001110/2010-11,2608750,Arquivado por decurso de prazo,1/15/2013,STN
17944.000665/2011-27,Coribe,BA,Município,Operação Contratual Interna,Provias 2010,Instituição Financeira Nacional,Banco do Brasil S/A,Real,785500,17944.000665/2011-27,2909109,Arquivado por decurso de prazo,1/14/2013,STN
17944.000466/2011-19,Pé de Serra,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,980000,17944.000466/2011-19,2924058,Arquivado por decurso de prazo,1/14/2013,STN
17944.001186/2010-47,Arcoverde,PE,Município,Operação Contratual Interna,Provias 2010,Instituição Financeira Nacional,Banco do Brasil S/A,Real,1300000,17944.001186/2010-47,2601201,Arquivado por decurso de prazo,1/14/2013,STN
17944.001118/2010-88,Macaparana,PE,Município,Operação Contratual Interna,Provias 2009,Instituição Financeira Nacional,Banco do Brasil S/A,Real,600000,17944.001118/2010-88,2609006,Arquivado por decurso de prazo,1/14/2013,STN
17944.001394/2011-27,Cruz Das Almas,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1387657,17944.001394/2011-27,2909802,Arquivado por decurso de prazo,12/27/2012,STN
17944.001395/2011-71,Cruz Das Almas,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1998306,17944.001395/2011-71,2909802,Arquivado por decurso de prazo,12/27/2012,STN
17944.001730/2011-31,Rio Grande do Norte,RN,Estado,Operação Contratual Interna,PAC 2 - Saneamento,Instituição Financeira Nacional,Caixa Econômica Federal,Real,56854245,17944.001730/2011-31,24,Arquivado por decurso de prazo,11/14/2012,STN
17944.001351/2011-41,Morro do Chapéu,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1000000,17944.001351/2011-41,2921708,Arquivado por decurso de prazo,11/1/2012,STN
17944.001368/2011-07,Lapão,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1000000,17944.001368/2011-07,2919157,Arquivado por decurso de prazo,10/23/2012,STN
17944.001265/2011-39,Mauriti,CE,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1685000,17944.001265/2011-39,2308104,Arquivado por decurso de prazo,10/23/2012,STN
17944.001088/2012-71,Pernambuco,PE,Estado,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco Nacional de Desenvolvimento Econômico e Social,Real,920287000,17944.001088/2012-71,26,Deferido,10/23/2012,STN
17944.002037/2011-86,Jequié,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,21840000,17944.002037/2011-86,2918001,Arquivado por decurso de prazo,10/8/2012,STN
17944.000680/2012-56,Rio Grande do Norte,RN,Estado,Operação Contratual Interna,Saneamento para Todos,Instituição Financeira Nacional,Caixa Econômica Federal,Real,6174689,17944.000680/2012-56,24,Arquivado por decurso de prazo,10/1/2012,STN
17944.001328/2011-57,Jaboatão dos Guararapes,PE,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,10044512,17944.001328/2011-57,2607901,Arquivado por decurso de prazo,9/17/2012,STN
17944.000575/2012-17,Bahia,BA,Estado,Operação Contratual Externa (com garantia da União),Infraestrutura,Instituição Financeira Internacional,Banco Internacional para Reconstrução e Desenvolvimento,Dólar dos EUA,700000000,17944.000575/2012-17,29,Encaminhado à PGFN com manifestação técnica favorável,9/6/2012,STN
17944.000938/2009-19,Santa Cruz da Baixa Verde,PE,Município,Operação Contratual Interna,Provias 2009,Instituição Financeira Nacional,Banco do Brasil S/A,Real,200000,17944.000938/2009-19,2612471,Arquivado por decurso de prazo,8/27/2012,STN
17944.001399/2011-50,Pesqueira,PE,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,2710949,17944.001399/2011-50,2610905,Deferido,8/22/2012,STN
17944.001401/2011-91,Pesqueira,PE,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1377461,17944.001401/2011-91,2610905,Deferido,8/22/2012,STN
17944.000705/2012-11,Paraíba,PB,Estado,Operação Contratual Interna,Saneamento para Todos,Instituição Financeira Nacional,Caixa Econômica Federal,Real,129944685,17944.000705/2012-11,25,Deferido,7/9/2012,STN
17944.000934/2012-36,Boquira,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,1300000,17944.000934/2012-36,2904100,Deferido,7/6/2012,STN
17944.000892/2012-33,Camaçari,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,5000000,17944.000892/2012-33,2905701,Deferido,7/6/2012,STN
17944.001299/2011-23,Maranhãozinho,MA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,2940000,17944.001299/2011-23,2106375,Arquivado por decurso de prazo,7/3/2012,STN
17944.001386/2011-81,Irecê,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1606000,17944.001386/2011-81,2914604,Arquivado por decurso de prazo,7/2/2012,STN
17944.001392/2011-38,Irecê,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,6388077,17944.001392/2011-38,2914604,Arquivado por decurso de prazo,7/2/2012,STN
17944.001280/2011-87,Cascavel,CE,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,2929984,17944.001280/2011-87,2303501,Arquivado por decurso de prazo,7/2/2012,STN
00000.000000/0087-10,Valente,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,1000000,00000.000000/0087-10,2933000,Devolvido,6/21/2012,STN
17944.001732/2011-21,Paulistana,PI,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,2000000,17944.001732/2011-21,2207801,Arquivado por decurso de prazo,6/21/2012,STN
17944.000179/2010-28,Mauriti,CE,Município,Operação Contratual Interna,Provias 2009,Instituição Financeira Nacional,Banco do Brasil S/A,Real,1000000,17944.000179/2010-28,2308104,Arquivado por decurso de prazo,6/20/2012,STN
17944.001291/2011-67,Fortaleza,CE,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,4334200,17944.001291/2011-67,2304400,Arquivado por decurso de prazo,6/19/2012,STN
17944.001350/2011-05,Jaguarari,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,5900000,17944.001350/2011-05,2917706,Deferido,6/18/2012,STN
17944.000772/2009-31,Amontada,CE,Município,Operação Contratual Interna,Provias 2009,Instituição Financeira Nacional,Banco do Brasil S/A,Real,1250000,17944.000772/2009-31,2300754,Arquivado por decurso de prazo,6/18/2012,STN
17944.001268/2011-72,Juazeiro do Norte,CE,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,36435919,17944.001268/2011-72,2307304,Arquivado por decurso de prazo,6/18/2012,STN
17944.001378/2011-34,Taquarana,AL,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,2567852,17944.001378/2011-34,2709103,Deferido,6/14/2012,STN
17944.001372/2010-86,Camacan,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,1000000,17944.001372/2010-86,2905602,Deferido,6/11/2012,STN
00000.000000/0086-92,Igaporã,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,650000,00000.000000/0086-92,2913408,Devolvido,6/11/2012,STN
00000.000000/0087-14,Valente,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,65000,00000.000000/0087-14,2933000,Devolvido,6/11/2012,STN
17944.000626/2012-19,Arapiraca,AL,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco do Nordeste do Brasil S/A,Real,15264163,17944.000626/2012-19,2700300,Deferido,5/29/2012,STN
17944.000658/2012-14,Baianópolis,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,900000,17944.000658/2012-14,2902500,Deferido,5/29/2012,STN
17944.000659/2012-51,Baianópolis,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,500000,17944.000659/2012-51,2902500,Deferido,5/29/2012,STN
00000.000000/0086-44,Boquira,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,1300000,00000.000000/0086-44,2904100,Devolvido,5/29/2012,STN
17944.000631/2012-13,Macaúbas,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,3000000,17944.000631/2012-13,2919801,Deferido,5/29/2012,STN
17944.001895/2011-11,Queimadas,PB,Município,Operação Contratual Interna,Provias 2010,Instituição Financeira Nacional,Banco do Brasil S/A,Real,1200000,17944.001895/2011-11,2512507,Deferido,5/29/2012,STN
17944.000613/2012-31,Capela do Alto Alegre,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,150000,17944.000613/2012-31,2906857,Deferido,5/25/2012,STN
17944.000595/2012-98,Pernambuco,PE,Estado,Operação Contratual Interna,Saneamento para Todos,Instituição Financeira Nacional,Caixa Econômica Federal,Real,80902516,17944.000595/2012-98,26,Deferido,5/24/2012,STN
17944.001825/2011-55,Cruzeta,RN,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,Banco do Brasil S/A,Real,200000,17944.001825/2011-55,2403004,Deferido,5/24/2012,STN
00000.000000/0085-95,Coronel João Sá,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,1000000,00000.000000/0085-95,2909208,Devolvido,5/22/2012,STN
17944.000893/2009-82,Acopiara,CE,Município,Operação Contratual Interna,Provias 2009,Instituição Financeira Nacional,Banco do Brasil S/A,Real,1100000,17944.000893/2009-82,2300309,Deferido,5/21/2012,STN
17944.000537/2012-64,Oliveira dos Brejinhos,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,170000,17944.000537/2012-64,2923209,Deferido,5/18/2012,STN
17944.000539/2012-53,Oliveira dos Brejinhos,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,500000,17944.000539/2012-53,2923209,Deferido,5/18/2012,STN
17944.002001/2011-01,Boqueirão,PB,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,Banco do Brasil S/A,Real,1200000,17944.002001/2011-01,2502508,Deferido,5/18/2012,STN
17944.000461/2012-77,Pintadas,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,65000,17944.000461/2012-77,2924652,Deferido,5/16/2012,STN
17944.000467/2012-44,Pintadas,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,250000,17944.000467/2012-44,2924652,Deferido,5/16/2012,STN
17944.000468/2012-99,Pintadas,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,700000,17944.000468/2012-99,2924652,Deferido,5/16/2012,STN
17944.001530/2011-89,Gavião,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,240000,17944.001530/2011-89,2911253,Deferido,5/15/2012,STN
17944.001867/2011-96,Caraúbas,PB,Município,Operação Contratual Interna,Provias 2010,Instituição Financeira Nacional,Banco do Brasil S/A,Real,599000,17944.001867/2011-96,2504074,Deferido,5/15/2012,STN
17944.000466/2012-08,Jacobina,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,10000000,17944.000466/2012-08,2917508,Deferido,5/14/2012,STN
17944.001896/2011-58,Barra da Estiva,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,65000,17944.001896/2011-58,2902807,Deferido,5/10/2012,STN
17944.001897/2011-01,Barra da Estiva,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,1000000,17944.001897/2011-01,2902807,Deferido,5/10/2012,STN
17944.001824/2011-19,Brotas de Macaúbas,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,2000000,17944.001824/2011-19,2904506,Deferido,4/30/2012,STN
17944.000245/2012-21,Camaçari,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,47000000,17944.000245/2012-21,2905701,Deferido,4/19/2012,STN
17944.001737/2011-53,João Pessoa,PB,Município,Operação Contratual Interna,PAC 2 - Pró-Moradia,Instituição Financeira Nacional,Caixa Econômica Federal,Real,23330000,17944.001737/2011-53,2507507,Deferido,4/19/2012,STN
17944.000436/2012-93,Maracás,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,700000,17944.000436/2012-93,2920502,Deferido,4/18/2012,STN
00000.000000/0083-79,Coribe,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,1200000,00000.000000/0083-79,2909109,Devolvido,4/3/2012,STN
17944.001706/2011-01,Piauí,PI,Estado,Operação Contratual Interna,PAC 2 - Saneamento,Instituição Financeira Nacional,Caixa Econômica Federal,Real,16226045,17944.001706/2011-01,22,Deferido,3/26/2012,STN
17944.000255/2012-67,Teofilândia,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,65000,17944.000255/2012-67,2931509,Deferido,3/20/2012,STN
17944.000256/2012-10,Teofilândia,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,3000000,17944.000256/2012-10,2931509,Deferido,3/20/2012,STN
17944.001273/2011-85,Lauro de Freitas,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1138293,17944.001273/2011-85,2919207,Deferido,2/8/2012,STN
17944.001274/2011-20,Lauro de Freitas,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,640000,17944.001274/2011-20,2919207,Deferido,2/8/2012,STN
17944.001275/2011-74,Lauro de Freitas,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,3280000,17944.001275/2011-74,2919207,Deferido,2/8/2012,STN
17944.001107/2010-06,Fortaleza,CE,Município,Operação Contratual Interna (com garantia da União),PAC - Copa Pró-Transporte,Instituição Financeira Nacional,Caixa Econômica Federal,Real,206600000,17944.001107/2010-06,2304400,Encaminhado à PGFN com manifestação técnica favorável,1/23/2012,STN
17944.001151/2011-99,Recife,PE,Município,Operação Contratual Interna,PAC 2 - Pró-Moradia,Instituição Financeira Nacional,Caixa Econômica Federal,Real,113550603,17944.001151/2011-99,2611606,Deferido,1/12/2012,STN
17944.001277/2011-63,Barbalha,CE,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1017450,17944.001277/2011-63,2301901,Deferido,1/10/2012,STN
17944.001787/2011-31,Santo Estêvão,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,2910000,17944.001787/2011-31,2928802,Deferido,12/30/2011,STN
17944.001333/2011-60,Camaragibe,PE,Município,Operação Contratual Interna,PAC 2 - Pró-Moradia,Instituição Financeira Nacional,Caixa Econômica Federal,Real,11420000,17944.001333/2011-60,2603454,Deferido,12/30/2011,STN
00000.000000/0080-52,Itaitinga,CE,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco do Brasil S/A,Real,1185800,00000.000000/0080-52,2306256,Devolvido,12/22/2011,STN
00000.000000/0080-86,Bom Jesus,PI,Município,Operação Contratual Interna,Provias 2010,Instituição Financeira Nacional,Banco do Brasil S/A,Real,1250000,00000.000000/0080-86,2201903,Devolvido,12/22/2011,STN
17944.000672/2010-48,Fortaleza,CE,Município,Operação Contratual Externa (com garantia da União),Infraestrutura,Instituição Financeira Internacional,Corporação Andina de Fomento,Dólar dos EUA,45100000,17944.000672/2010-48,2304400,Encaminhado à PGFN com manifestação técnica favorável,12/21/2011,STN
17944.001287/2011-07,São Luís,MA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,43230000,17944.001287/2011-07,2111300,Deferido,12/16/2011,STN
17944.001361/2011-87,Aracaju,SE,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,11310000,17944.001361/2011-87,2800308,Deferido,12/16/2011,STN
17944.000425/2010-41,Bahia,BA,Estado,Operação Contratual Externa (com garantia da União),Infraestrutura,Instituição Financeira Internacional,Banco Internacional para Reconstrução e Desenvolvimento,Dólar dos EUA,60000000,17944.000425/2010-41,29,Encaminhado à PGFN com manifestação técnica favorável,12/15/2011,STN
17944.001330/2011-26,Vitória da Conquista,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,5024095,17944.001330/2011-26,2933307,Deferido,12/12/2011,STN
17944.001332/2011-15,Vitória da Conquista,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,3391740,17944.001332/2011-15,2933307,Deferido,12/12/2011,STN
17944.001343/2011-03,Vitória da Conquista,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,17930000,17944.001343/2011-03,2933307,Deferido,12/12/2011,STN
17944.001278/2011-16,Caucaia,CE,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,49400000,17944.001278/2011-16,2303709,Deferido,12/5/2011,STN
17944.001288/2011-43,Horizonte,CE,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,7350241,17944.001288/2011-43,2305233,Deferido,12/1/2011,STN
17944.001375/2011-09,Olindina,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,4046189,17944.001375/2011-09,2923100,Deferido,11/29/2011,STN
17944.001229/2011-75,Açailândia,MA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,19790113,17944.001229/2011-75,2100055,Deferido,11/25/2011,STN
17944.001295/2011-45,Pernambuco,PE,Estado,Operação Contratual Interna,PAC - Copa Pró-Transporte,Instituição Financeira Nacional,Caixa Econômica Federal,Real,347000000,17944.001295/2011-45,26,Deferido,11/23/2011,STN
17944.001303/2011-53,Pernambuco,PE,Estado,Operação Contratual Interna,PAC 2 - Saneamento,Instituição Financeira Nacional,Caixa Econômica Federal,Real,192411353,17944.001303/2011-53,26,Deferido,11/23/2011,STN
17944.001319/2011-66,Pernambuco,PE,Estado,Operação Contratual Interna,PAC 2 - Pró-Moradia,Instituição Financeira Nacional,Caixa Econômica Federal,Real,83450000,17944.001319/2011-66,26,Deferido,11/23/2011,STN
00000.000000/0078-92,Jequié,BA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,21840000,00000.000000/0078-92,2918001,Devolvido,11/10/2011,STN
00000.000000/0079-04,Bodocó,PE,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1543027,00000.000000/0079-04,2602001,Devolvido,11/10/2011,STN
00000.000000/0070-69,Gavião,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,240000,00000.000000/0070-69,2911253,Devolvido,10/24/2011,STN
17944.001638/2010-91,Estância,SE,Município,Operação Contratual Interna,Provias 2010,Instituição Financeira Nacional,Banco do Brasil S/A,Real,1800000,17944.001638/2010-91,2802106,Deferido,10/17/2011,STN
17944.001152/2010-52,Caetité,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,130000,17944.001152/2010-52,2905206,Deferido,10/14/2011,STN
17944.001029/2011-12,Acopiara,CE,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1622765,17944.001029/2011-12,2300309,Deferido,10/13/2011,STN
