REGI√O,ESTADO,DESTINAT¡RIO,ORIGEM,FORNECEDOR,MEDICAMENTO,APRESENTA«√O,QUANTIDADE,PEDIDO SISMAT,STATUS,DATA DE ENTREGA
SUDESTE,RIO DE JANEIRO,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML",AMPOLA 5 mL,300,-,Entrega realizada,3/29/2021
SUDESTE,RIO DE JANEIRO,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 5 mL,3000,-,Entrega realizada,3/29/2021
NORDESTE,RIO GRANDE DO NORTE,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 10 mL,4540,-,Entrega realizada,3/27/2021
NORDESTE,RIO GRANDE DO NORTE,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 3 mL,2270,-,Entrega realizada,3/27/2021
NORDESTE,RIO GRANDE DO NORTE,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM, CLORIDRATO, 1 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 5 mL,2270,-,Entrega realizada,3/27/2021
NORDESTE,RIO GRANDE DO NORTE,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",650,-,Entrega realizada,3/27/2021
NORDESTE,RIO GRANDE DO NORTE,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML",AMPOLA 5 mL,300,-,Entrega realizada,3/27/2021
NORDESTE,RIO GRANDE DO NORTE,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 5 mL,2000,-,Entrega realizada,3/27/2021
NORTE,ROND‘NIA,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 10 mL,2500,-,Entrega realizada,3/27/2021
NORTE,ROND‘NIA,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 3 mL,2980,-,Entrega realizada,3/27/2021
NORTE,ROND‘NIA,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM, CLORIDRATO, 1 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 5 mL,2980,-,Entrega realizada,3/27/2021
NORTE,ROND‘NIA,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",3600,-,Entrega realizada,3/27/2021
NORTE,ROND‘NIA,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML",AMPOLA 5 mL,256,-,Entrega realizada,3/27/2021
NORTE,ROND‘NIA,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 5 mL,45,-,Entrega realizada,3/27/2021
NORTE,RORAIMA,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 10 mL,740,-,Entrega realizada,3/29/2021
NORTE,RORAIMA,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 3 mL,370,-,Entrega realizada,3/29/2021
NORTE,RORAIMA,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM, CLORIDRATO, 1 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 5 mL,370,-,Entrega realizada,3/29/2021
NORTE,RORAIMA,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML","AMPOLA 2,5 mL",25,-,Entrega realizada,3/29/2021
NORTE,RORAIMA,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 5 mL,15,-,Entrega realizada,3/29/2021
NORTE,ACRE,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,800,-,Entrega realizada,3/31/2021
NORTE,ACRE,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 10 mL,2200,-,Entrega realizada,3/31/2021
NORDESTE,ALAGOAS,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML",AMPOLA 5 mL,2250,-,Entrega realizada,3/31/2021
NORDESTE,ALAGOAS,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 5 mL,1115,-,Entrega realizada,3/31/2021
NORDESTE,ALAGOAS,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,4800,-,Entrega realizada,3/31/2021
NORDESTE,ALAGOAS,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 10 mL,2870,-,Entrega realizada,3/31/2021
NORTE,AMAP¡,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML",AMPOLA 5 mL,1025,-,Entrega realizada,3/31/2021
NORTE,AMAP¡,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,1350,-,Entrega realizada,3/31/2021
NORTE,AMAP¡,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 10 mL,3390,-,Entrega realizada,3/31/2021
NORTE,AMAZONAS,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML",AMPOLA 5 mL,350,-,Entrega realizada,3/30/2021
NORTE,AMAZONAS,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,450,-,Entrega realizada,3/30/2021
NORDESTE,BAHIA,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML",AMPOLA 5 mL,4000,-,Entrega realizada,3/30/2021
NORDESTE,BAHIA,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 5 mL,3000,-,Entrega realizada,3/30/2021
NORDESTE,BAHIA,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,11575,-,Entrega realizada,3/30/2021
NORDESTE,BAHIA,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 10 mL,3560,-,Entrega realizada,3/30/2021
NORDESTE,CEAR¡,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 5 mL,3000,-,Entrega realizada,3/31/2021
NORDESTE,CEAR¡,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,9700,-,Entrega realizada,3/31/2021
NORDESTE,CEAR¡,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 10 mL,7000,-,Entrega realizada,3/31/2021
NORDESTE,CEAR¡,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 3 mL,6870,-,Entrega realizada,3/31/2021
CENTRO-OESTE,DISTRITO FEDERAL,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML",AMPOLA 5 mL,400,-,Entrega realizada,3/30/2021
CENTRO-OESTE,DISTRITO FEDERAL,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 5 mL,440,-,Entrega realizada,3/30/2021
CENTRO-OESTE,DISTRITO FEDERAL,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,650,-,Entrega realizada,3/30/2021
SUDESTE,ESPÕRITO SANTO,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,150,-,Entrega realizada,3/30/2021
CENTRO-OESTE,GOI¡S,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 5 mL,385,-,Entrega realizada,3/30/2021
CENTRO-OESTE,GOI¡S,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,2375,-,Entrega realizada,3/30/2021
CENTRO-OESTE,GOI¡S,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 10 mL,2050,-,Entrega realizada,3/30/2021
NORDESTE,MARANH√O,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML",AMPOLA 5 mL,625,-,Entrega realizada,3/31/2021
NORDESTE,MARANH√O,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 5 mL,670,-,Entrega realizada,3/31/2021
NORDESTE,MARANH√O,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,1200,-,Entrega realizada,3/31/2021
CENTRO-OESTE,MATO GROSSO,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML",AMPOLA 5 mL,600,-,Entrega realizada,3/30/2021
CENTRO-OESTE,MATO GROSSO,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 5 mL,905,-,Entrega realizada,3/30/2021
CENTRO-OESTE,MATO GROSSO,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,2625,-,Entrega realizada,3/30/2021
CENTRO-OESTE,MATO GROSSO,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 10 mL,2000,-,Entrega realizada,3/30/2021
CENTRO-OESTE,MATO GROSSO,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 3 mL,10,-,Entrega realizada,3/30/2021
CENTRO-OESTE,MATO GROSSO DO SUL,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML",AMPOLA 5 mL,2000,-,Entrega realizada,3/30/2021
CENTRO-OESTE,MATO GROSSO DO SUL,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 5 mL,1500,-,Entrega realizada,3/30/2021
CENTRO-OESTE,MATO GROSSO DO SUL,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,4825,-,Entrega realizada,3/30/2021
CENTRO-OESTE,MATO GROSSO DO SUL,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 10 mL,2300,-,Entrega realizada,3/30/2021
CENTRO-OESTE,MATO GROSSO DO SUL,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 3 mL,2410,-,Entrega realizada,3/30/2021
SUDESTE,MINAS GERAIS,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML",AMPOLA 5 mL,575,-,Entrega realizada,3/31/2021
SUDESTE,MINAS GERAIS,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 5 mL,1000,-,Entrega realizada,3/31/2021
SUDESTE,MINAS GERAIS,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,6150,-,Entrega realizada,3/31/2021
SUDESTE,MINAS GERAIS,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 10 mL,5000,-,Entrega realizada,3/31/2021
SUDESTE,MINAS GERAIS,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 3 mL,4650,-,Entrega realizada,3/31/2021
NORTE,PAR¡,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML",AMPOLA 5 mL,800,-,Entrega realizada,3/30/2021
NORTE,PAR¡,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 5 mL,340,-,Entrega realizada,3/30/2021
NORTE,PAR¡,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,2700,-,Entrega realizada,3/30/2021
NORTE,PAR¡,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 10 mL,2860,-,Entrega realizada,3/30/2021
NORDESTE,PARAÕBA,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 5 mL,620,-,Entrega realizada,3/30/2021
NORDESTE,PARAÕBA,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,2300,-,Entrega realizada,3/30/2021
SUL,PARAN¡,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML",AMPOLA 5 mL,800,-,Entrega realizada,3/27/2021
SUL,PARAN¡,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 5 mL,1000,-,Entrega realizada,3/27/2021
SUL,PARAN¡,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,19850,-,Entrega realizada,3/27/2021
SUL,PARAN¡,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 10 mL,10000,-,Entrega realizada,3/27/2021
SUL,PARAN¡,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 3 mL,9150,-,Entrega realizada,3/27/2021
NORDESTE,PERNAMBUCO,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,3800,-,Entrega realizada,3/30/2021
NORDESTE,PERNAMBUCO,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 10 mL,2460,-,Entrega realizada,3/30/2021
NORDESTE,PIAUÕ,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML",AMPOLA 5 mL,1475,-,Entrega realizada,3/31/2021
NORDESTE,PIAUÕ,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 5 mL,600,-,Entrega realizada,3/31/2021
NORDESTE,PIAUÕ,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,925,-,Entrega realizada,3/31/2021
NORDESTE,PIAUÕ,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 10 mL,2400,-,Entrega realizada,3/31/2021
SUDESTE,RIO DE JANEIRO,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML",AMPOLA 5 mL,2500,-,Entrega realizada,3/31/2021
SUDESTE,RIO DE JANEIRO,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 5 mL,1200,-,Entrega realizada,3/31/2021
SUDESTE,RIO DE JANEIRO,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,9000,-,Entrega realizada,3/31/2021
SUDESTE,RIO DE JANEIRO,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 10 mL,6000,-,Entrega realizada,3/31/2021
SUDESTE,RIO DE JANEIRO,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 3 mL,4100,-,Entrega realizada,3/31/2021
NORDESTE,RIO GRANDE DO NORTE,SES,REQUISI«√O ADMINISTRATIVA  - ENTREGA DESCENTRALIZADA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ATRAC⁄RIO, BESILATO 10 MG/ML",AMPOLA 5 mL,375,-,Entrega realizada,3/30/2021
